"Bank","Month","Requests","Approved","Issues","Approval","Accepted"
"A",1,7357.10120188296,1159.86295917316,890.774752644991,0.157652168611778,0.768
"A",2,10476.8235824152,1646.45748565578,1185.44938967216,0.157152353736228,0.72
"A",3,10543.9392802103,1667.61983317141,1427.48257719473,0.158159089203154,0.856
"A",4,10702.7849127177,1718.24407331847,1580.78454745299,0.160541773690766,0.92
"A",5,7656.77013968434,1256.27419225632,934.667999038704,0.164073645850379,0.744
"A",6,11228.9612342383,1891.34355600038,1694.64382617634,0.168434418513574,0.896
"A",7,17323.0215986533,3000.87077307409,2472.71751701305,0.173230215986533,0.824
"A",8,17804.3501366072,3169.94883786905,2307.72275396867,0.178043501366072,0.728
"A",9,8517.20213204257,1554.48711767294,1119.23072472452,0.182511474258055,0.72
"A",10,6213.47960167853,1158.21986281425,843.184060128777,0.186404388050356,0.728
"A",11,6321.98823912483,1199.02605886898,1103.10397415946,0.189659647173745,0.92
"A",12,9617.5264198949,1849.93628874753,1598.34495347787,0.192350528397898,0.864
"A",13,4540.98828796349,883.73891277521,735.270775428975,0.194613783769864,0.832
"A",14,6552.70060097974,1288.13655498241,1236.61109278311,0.196581018029392,0.96
"A",15,26445.5116801308,2576.27310996481,2411.39163092706,0.0974181608253937,0.936
"A",16,19993.5678637004,2576.27310996481,2225.8999670096,0.128855096175316,0.864
"A",17,4698.62565728975,946.160702886068,688.804991701057,0.201369671026704,0.728
"A",18,6754.39646134264,1368.65614670994,1171.56966158371,0.202631893840279,0.856
"A",19,10185.4714512314,2074.876573677,1659.9012589416,0.203709429024628,0.8
"A",20,10229.871348666,2093.00535620515,1640.91619926484,0.20459742697332,0.784
"A",21,4790.39336232093,983.480081390074,849.726790321024,0.205302572670897,0.864
"A",22,13722.8008632265,2824.72895297654,2643.94629998604,0.205842012948397,0.936
"A",23,13749.3224445837,2835.658015277,2313.89694046603,0.206239836668756,0.816
"A",24,20652.2957739269,4265.1732073376,3889.83796509189,0.206522957739269,0.912
"B",1,6660.23188419089,2450,2156,0.367855060094148,0.88
"B",2,9544.87772112957,3500,3276,0.366688825384533,0.936
"B",3,9484.12138409107,3500,2744,0.369037874807359,0.784
"B",4,9343.36257483543,3500,2660,0.37459747194512,0.76
"B",5,6399.56523522072,2450,1960,0.382838506984217,0.8
"B",6,8905.54325676089,3500,3248,0.393013643198339,0.928
"B",7,12988.4961880721,5250,4998,0.40420383730191,0.952
"B",8,12637.3609973768,5250,4536,0.415434836520835,0.864
"B",9,5753.0629472391,2450,1803.2,0.425860106602129,0.736
"B",10,4023.51043258377,1750,1330,0.434943572117497,0.76
"B",11,3954.45215245463,1750,1470,0.442539176738738,0.84
"B",12,5848.69721632797,2625,2205,0.448817899595095,0.84
"B",13,2697.6506485318,1225,1166.2,0.454098828796349,0.952
"B",14,3815.22085661324,1750,1414,0.458689042068582,0.808
"B",15,15125.4399929244,7000,2828,0.462796454402289,0.404
